Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
BONDE D,North Uyoma,4,3,300
BONDED WITH LOVE,Sarang'ombe,19,1,200
BONDO BROILERS KEEPERS,West Sakwa,6,2,200
BONDO DAIRY GOAT,North Sakwa,5,3,400
BONDO GOAT BREEDERS,North Sakwa,16,8,1100
BONDO HOTEL OWNERS,West Sakwa,11,5,2000
BONDO UNITED ,Lindi,6,2,200
BONGU DEVT STARS A,South Sakwa,4,3,300
BONGU DEVT STARS B,South Sakwa,3,3,300
BONVENTURE,Makina,20,5,500
BORO AND FRIENDS,North Ugenya,7,1,100
BORO N SELF,North Ugenya,3,2,200
BORO NANGO,North Ugenya,2,2,200
BORO NYALE,Ukwala,3,2,300
BORO SELF GROUP,North Ugenya,1,1,100
BRAVE EXODUS SHG,Laini Saba,22,7,1000
BREAK THROUGH WOMEN ,Kayole South,22,15,1500
BRIGHT LADIES,Gembe,2,2,200
BRIGHT LADIES S,West Sakwa,12,5,900
BRIGHT STAR,East Asembo,12,1,100
BRIGHT STAR,North Uyoma,12,1,100
BRIGHT STAR,West Uyoma,12,1,100
BRIGHT VISION,Huruma,8,1,100
BRIGHT WOMEN A,West Asembo,13,2,200
BRIGHTER FUTURE,Lindi,20,17,6800
BRIGHTER FUTURE ,Lindi,1,1,300
BRIGIT STAR YOUTH WELFARE ,Kwa Reuben,1,1,100
BRILIANT FRIENDS,Kayole South,16,8,1000
BROTHERS KEEPER,Sigomere,13,1,200
BROTHERS KEEPER,Ugunja,13,2,201
BROWED ASSOCIATION,West Kasipul,8,7,800
BUDUTA WOMEN,North Ugenya,5,3,800
BUFALO B,South Gem,14,5,303
BUFFALO,East Asembo,5,2,600
BUFFALO TRUSTED MOTHERS,Central Alego,2,1,100
BUILDING STRONG FAMILY,Central Sakwa,12,3,300
BUILDING STRONG FAMILY,South Sakwa,12,1,200
BUISY,Kochia,2,2,200
BUKHOBA SMART TWO,Usonga,3,1,100
BUKHUNGU PROGRESSIVE SHG,Makina,35,12,2000
BUKHUNGU WOMEN,Lindi,6,5,1600
BUKHUNGU WOMEN PROGRESSIVE,Lindi,49,15,1800
BUMALA FADIC,North Ugenya,2,2,200
BUMALA SHG,Sarang'ombe,35,11,1800
BUNYAKIGE WOMEN GROUP,North Alego,4,3,300
BUOYWE,Central Seme,12,2,400
BUR LOWO CBO,South Sakwa,2,1,100
BUTTER MULA SHG,Sarang'ombe,31,7,700
BWARE UPPER SHG,Central Karachuonyo,2,1,100
Babadogo Welcome ,Baba Dogo,7,4,400
Bahati,Kayole South,7,2,200
Bahati Stage Kwa Mbao,Pumwani,1,1,100
Bahati Women,Lower Savannah,12,11,1100
Bahati one,Pumwani,14,1,100
Bahati vision,Pumwani,6,5,500
Bahati winyo,East Kamagambo,9,9,1100
Bajiij ruben ,Kwa Reuben,1,1,100
Bakasitswa SHG,Kabiro,16,5,700
Bakhulunya,Gatina,12,8,800
Bamba Jikoni SHG,Kawangware,48,17,1900
Bana Biitu,Pipeline,1,1,100
Bantu Reuben  SHG,Kwa Reuben,7,7,700
Baptist  ,Nairobi South,15,10,1000
Baraka,Kayole South,12,5,1000
Baraka ,Mathare North,9,6,900
Baraka Dandora SHG,Gatina,29,4,400
Baraka Pamoja,Utalii,6,1,100
Baraka SHG,Eastleigh South,11,2,200
Baraka SHG,Nyayo Highrise,11,4,400
Baraka Shiners B,Kwa Reuben,16,4,400
Baraka Soweto SHG,Mugumu-Ini,11,4,400
Baraka Zimmerman group,Githurai,7,6,1100
Baraka champion,Mowlem,1,1,100
Baraka mwanzo mpya ,Mowlem,1,1,100
Baraka women ,Kwa Reuben,7,6,700
Batoma,East Kamagambo,8,2,400
Baua,Lindi,11,7,1300
Bayhill women,Gatina,13,1,100
Bayhill women,Kabiro,13,7,700
Beam Star,Landimawe,13,7,1000
Beautiful Ladies ,Lucky Summer,9,5,500
Bedmos SHG,Gatina,10,1,100
Bega Kwa Bega,Mwiki,1,1,100
Bega kwa Bega,Lucky Summer,12,7,700
Beingo women,Utalii,2,1,100
Believe and Achieve,Githurai,15,4,600
Believers,Kayole South,22,8,800
Belta,Utalii,7,1,100
Berean Investment,Laini Saba,13,9,1700
Bestever Group ,Utalii,51,22,3500
Bethel Vision,Kawangware,10,7,700
Bethsaida,California,28,1,100
Bethsaida,Njiru,28,4,400
Better Living SHG,Ngei,6,5,500
Better Women,Ngei,18,10,1000
Better future,Riruta,1,1,200
Beyond News 2,Nairobi South,6,1,300
Beyond Women,Nairobi South,14,5,500
Bhajuu ya Juu,Kwa Reuben,15,6,800
Biafra Joint Traders,California,26,20,2600
Bible,Kabiro,17,8,800
Bidii,Kasarani,4,1,100
Bidii  progress,Clay City,5,4,1000
Bidii 46 SHG,Kawangware,30,7,8400
Bidii Nikeline,Hospital,12,1,600
Bidii Nikeline,Mabatini,12,3,1300
Bidii Women ,Kwa Njenga,19,8,900
Bidii Women (C.B.O),Korogocho,31,18,2000
Bidii Women A ,Kwa Njenga,8,1,100
Bidii Women B,Kware,5,3,600
Bidii Women C,Kware,14,5,600
Bidii Women D,Kwa Njenga,5,3,400
Bidii Yetu,Mugumu-Ini,9,4,400
Bidii Yetu Group ,Korogocho,16,6,700
Bidii Yetu Youth SHG,Korogocho,30,11,2000
Bidii mothers,Ngei,3,2,200
Bidii na Maendeleo ,Kwa Reuben,5,5,700
Big 5 Center,Komarock,11,3,300
Big Five Women,Laini Saba,26,7,1500
Bimos,Kware,3,3,300
Bismillahi ,Kwa Njenga,13,3,300
Blessed ,Kwa Njenga,9,1,100
Blessed  Mothers,Kwa Njenga,10,7,700
Blessed  assurance ,Kwa Njenga,14,2,400
Blessed 2,Eastleigh South,12,4,900
Blessed Achievers,Nyayo Highrise,23,9,1200
Blessed C ,Landimawe,15,3,300
Blessed C ,Nairobi South,15,1,100
Blessed C ,Ngara,15,1,100
Blessed Clan,Ngei,1,1,100
Blessed Hands SHG,Kahawa West,13,8,800
Blessed Israel ,Imara Daima,11,7,700
Blessed Joint,Hospital,33,5,600
Blessed Joint,Ngei,33,16,2300
Blessed Joy,Mathare North,12,4,600
Blessed Ladies ,Roysambu,7,1,300
Blessed Partners,Ngara,8,7,1300
Blessed Partners 44,Githurai,18,14,1400
Blessed S.H.G ,Marenyo - Shianda,1,1,1
Blessed Sisters,Njiru,14,7,800
Blessed Star,California,24,8,900
Blessed Stars,Nyayo Highrise,20,15,6301
Blessed Virtous SHG,Kariobangi North,22,19,1900
Blessed Women Group,Dandora Area I,18,2,200
Blessed group,Kayole Central,2,1,100
Blessed ladies ,Kware,10,1,100
Blessed once,Mlango Kubwa,9,5,500
Blessed savers ,Kwa Njenga,4,2,400
Blessed sisters,Kayole South,60,10,1000
Blessed sisters,Mowlem,60,12,1200
Blessed sisters,Pumwani,60,10,1100
Blessed team,Mowlem,6,3,300
Blessing A ,Imara Daima,35,22,2500
Blessing A ,Kwa Reuben,35,1,100
Blessing Favour,Dandora Area Iv,11,8,1250
Blessing Favour 2,Dandora Area Iv,15,5,900
Blessing Movers ,Nairobi South,8,1,100
Blessing Women Group,Dandora Area Ii,11,1,100
Blessings ,Kwa Reuben,9,8,1000
Blessings ,Kware,9,1,100
Blessings SHG,Gatina,18,7,800
Blesson,Kayole Central,8,1,100
Bliss Bins ,Kwa Reuben,15,6,800
Blood Sister ,Kayole North,5,4,800
Blooming together ,Clay City,2,1,300
Blossom shaurimoyo,California,12,5,800
Blue Jays ,Lower Savannah,3,2,200
Blue Zone SHG,Gatina,11,9,1000
Blue berry,California,7,2,200
Bogetutu,Nyayo Highrise,7,5,600
Boma Welfare,Dandora Area I,5,1,500
Bondo B aswekra,Wasweta Ii,9,8,800
Bondo group ,Kware,6,2,200
Bopwa,Upper Savannah,7,1,100
Borasi,Ngara,9,3,300
Borderless ,Kwa Njenga,19,12,1200
Boresa 1,Nairobi South,10,4,400
Boresha,Eastleigh South,7,1,100
Boresha Akina Mama,Hospital,17,11,2500
Boresha Mama,Hospital,13,2,600
Boresha Mama,Ngei,13,8,1000
Boro ladies shg,Central Alego,6,6,900
Bostan 001,Umoja Ii,6,4,400
Botori  C1,Nairobi South,16,9,1100
Botori C2,Nairobi South,12,7,700
Bottom Up,Hospital,12,7,2200
Bottom Up ,Umoja Ii,11,9,1000
Brave Women,Korogocho,22,11,1900
Breakthrough Pamoja,Pumwani,3,1,100
Breeze Alliance,Nyayo Highrise,11,8,800
Brethren sister,Ruai,11,6,600
Bridge,California,5,3,300
Bridge ,Kwa Njenga,5,2,200
Bridge Golden,Huruma,11,9,900
Bridge SHG ,Kwa Reuben,26,6,800
Bright Future A ,Kwa Njenga,7,3,300
Bright Future B,Kwa Njenga,15,10,1000
Bright Future CFM,Nyayo Highrise,12,8,800
Bright Future D ,Kwa Njenga,11,5,500
Bright Minded group ,Ngara,6,4,1100
Bright Star A,Dandora Area Ii,7,3,400
Bright Star B,Dandora Area Ii,13,4,500
Bright Stars,Baba Dogo,6,1,100
Bright choice,Ngei,9,4,700
Bright view,Gatina,14,3,300
Brighter future,California,6,1,100
Brightstar,Kwa Reuben,7,2,200
Brightstar,Kware,7,2,200
Brigtstar gateway ,Kwa Njenga,1,1,100
Briquatters SHG,Dandora Area Ii,35,2,200
Builder,Landimawe,7,4,1200
Buildher Artisans ,Huruma,8,5,500
Bujumba SHG,Kabiro,8,6,800
Bukavits Networks CBO,Kariobangi North,7,4,400
Bukaya Tujikaze,Baba Dogo,2,2,600
Bukhungu CBO 047,Makina,24,7,900
Bull Ocean ,Nairobi South,8,6,600
Burudani,Baba Dogo,16,4,400
Busweta SHG,Gatina,29,24,2800
Busy Brain,Njiru,6,1,100
Butere Mumias ,Baba Dogo,14,8,1400
Buuik self help group,Kabiro,1,1,100
Buvik SHG ,Kabiro,16,10,1000
Buwaya Tujikaze,Baba Dogo,11,3,700
By Faith,Mugumu-Ini,6,4,400
By Grace,Mabatini,15,6,600
By Grace,Njiru,15,1,100
By Grace ,Eastleigh South,5,3,300
By The Grace,Mugumu-Ini,20,10,1100
By grace women group ,Umoja Ii,10,9,1600
By the grace,Mowlem,7,5,500
C.W.A. Centre,Korogocho,14,11,1800
CALDEA,Central Kamagambo,3,3,300
CAMBE WOMEN,North Alego,1,1,100
CAMINYA CATERING,West Sakwa,1,1,200
CAMP DAVID,South Gem,6,3,300
CANAAN,Central Kamagambo,11,1,100
CANAAN A,West Asembo,14,6,1000
CANAAN B,West Asembo,6,1,100
CANAL,Kibiri,5,1,100
CANAL,North Karachuonyo,5,1,100
CAPABLE,Huruma,15,3,300
CAPABLE WOMEN,Lambwe,4,4,500
CAPITAL BAY,Kendu Bay Town,4,4,400
CAPITAL BAY CBO,Kendu Bay Town,1,1,100
CAPITAL K,Karura,26,3,300
CARE,Ugunja,8,5,500
CATECHISM CBO,Lindi,17,10,1400
CDF,Huruma,5,1,100
CECILIA CHOIR,Siaya Township,3,1,100
CENTER B,Yimbo East,8,6,600
CENTER C,Yimbo East,3,3,600
CENTER E,Yimbo East,7,6,600
CENTRAL SAKWA DRIVERS,Central Sakwa,10,7,900
CENTRUM,Ng'ando,7,7,700
CENWEST WINNERS,Homa Bay Central,3,2,200
CHABERA A,Kabondo East,1,1,100
CHABERA HOPE,Kabondo East,4,3,300
CHAK CHON KANDARIA,East Asembo,9,1,200
CHAK CHON KANDARIA,West Asembo,9,1,100
CHAKA CHAKA,North Sakwa,8,3,400
CHAKO CHON BER,Sigomere,6,6,600
CHAKO CHON BER A,North Sakwa,15,9,1000
CHAKO CHON BER C,North Sakwa,5,4,600
CHAKO OK ETIEKO,North Sakwa,12,7,1000
CHALLENGE ,Nairobi South,6,1,200
CHALRE,West Yimbo,1,1,100
CHALRE ACHALA,Lindi,19,4,700
CHAM GI WADU,North Kanyamkago,24,1,100
CHAM GI WADU,South Gem,24,3,300
CHAM GI WADU,South Kanyamkago,24,1,100
CHAM GI WADU A,God Jope,15,8,900
CHAM GI WADU B,God Jope,5,2,200
CHAM GI WADU B,West Gem,5,1,100
CHAM LUCHI,Central Alego,33,2,200
CHAM LUCHI,East Kamagak,33,1,200
CHAM LUCHI MIGOWA,North Uyoma,7,7,700
CHAM PACHI,North Kamagambo,15,10,2100
CHAM PACHI NYANGOYE,South Uyoma,6,5,600
CHAM THUONI,South Uyoma,13,5,600
CHAMAGINA,Wiga,4,3,300
CHAMLUCHI MIGOWA,North Uyoma,1,1,100
CHAMO GI CHULO,Kolwa East,8,1,1
CHAMPION,Kabondo East,6,2,300
CHAMPION LADIES,Huruma,11,11,1100
CHAMPIONS,Ugunja,9,4,600
CHAMPIONS,West Sakwa,9,1,100
CHAMPIONS BARDING,South East Alego,6,1,100
CHAN OK YOMB,North Alego,8,4,500
CHANDI TO OK CHANDA,West Gem,21,7,1200
CHANDI TO OK CHANDA A,West Uyoma,5,3,300
CHANDI TO OK CHANDA C,West Uyoma,5,4,400
CHANDI TOK CHANDA,East Kamagambo,18,5,500
CHANDI TOK CHANDA,Yimbo East,18,1,100
CHANDI TOK CHANDA A,Central Gem,8,6,600
CHANDI TOK CHANDA B,Central Gem,5,3,300
CHANDI TOK CHANDA C,Central Gem,9,2,200
CHANDO RACH WOMEN GROUP,North Uyoma,4,2,200
CHANDRUOK,West Asembo,14,5,700
CHANDRUOK KELO RIEKO,Kolwa Central,14,1,1
CHANDRUOK KELO RIEKO,South Sakwa,14,3,500
CHANDRUOK OSIKO,West Alego,4,2,400
CHANGE IN GHETTO,Mabatini,22,3,300
CHANGE MAKERS,West Gem,2,2,200
CHANUKA GROUP,West Karachuonyo,3,2,200
CHANUKA WOMEN WOMEN,Central Gem,2,1,100
CHANUKENI,Siaya Township,13,10,2900
CHAP CHAP,South Sakwa,14,1,100
CHAP CHAP,West Alego,14,8,900
CHEM KILING DONDI,South East Alego,19,3,300
CHEMI CHEMI SHG,Makina,36,13,3000
CHEMSHA BONGO,Kasgunga,2,2,200
CHIANDA BEST A,North Uyoma,9,8,800
CHIANDA BEST B,North Uyoma,14,13,1500
CHIANDA CHAPCHAP,North Uyoma,14,10,1200
CHIANDA CHAPCHAP,South Uyoma,14,1,100
CHIANDA WOMEN,North Uyoma,2,2,400
CHICAGO,East Kamagambo,1,1,200
CHIEFS CAMP,Bukira Central/Ikerege,1,1,100
CHIEN OK YANY,Sigomere,6,3,800
CHIENG JAMONDO,South Uyoma,8,1,100
CHIGA WIDOWS SHG,Kolwa East,9,1,1
CHIU PACHI RWEYA,Kolwa East,3,1,100
CHIWO TEK WOMEN SHG,Central Sakwa,1,1,100
CHOK CHIR,Ugunja,8,1,300
CHOK CHIR A,East Asembo,2,1,200
CHOK CHIR YOUTH,South Sakwa,3,1,100
CHONGI GI LOO,South Kanyamkago,3,2,201
CHOPA B,West Uyoma,2,2,300
CHORE A,West Asembo,14,6,700
CHORE B,West Asembo,8,3,500
CHOSEN FEW,West Uyoma,12,10,1000
CHRISTHOOD,Dandora Area I,4,2,200
CHULA OBERE,North Kamagambo,6,3,400
CHUNG KENDI,North Kamagambo,8,4,700
CHUNGA MOYIE,Yimbo East,17,7,800
CHUNGNI OK MII,Central Alego,7,1,100
CHUNJE MOYIE,Homa Bay Central,3,3,300
CHURCH BER,West Alego,3,1,100
CITY A,Central Sakwa,3,1,100
CITY FRIEND WELFARE ASSOCIATION,Sarang'ombe,12,2,300
CITY YOUTH,Huruma,17,1,200
CLIPS SHG,Yala Township,8,2,200
CLUSTER MURUMBA,East Ugenya,1,1,100
COMBINATION YOUTHS LADIES,North Sakwa,8,1,100
COMFORT,Laini Saba,43,17,2900
COMMON BRIDGE,South Sakwa,4,1,100
COMMUNITY CONCERN,South East Alego,5,1,100
"COMMUNITY SELF HELP GROUP,GEM",South East Alego,2,2,200
COMRADE POWERS,Sarang'ombe,31,14,2000
COMRADES A,South Sakwa,6,5,500
COMRADES KAGWA,West Uyoma,4,3,300
COMRADES TIBIM,South Sakwa,3,2,200
CONCIOUS BRAIN,Dandora Area Iii,8,2,200
CONGO FRIENDS,Central Gem,4,3,300
CONQUERORS YOUTH GRP,Central Kasipul,3,1,100
COUNTY SHG,Sarang'ombe,11,1,600
COVID -19 2020 SHG,Sarang'ombe,31,6,700
COVINE SHG,Sarang'ombe,15,2,200
CTC SHG,California,2,2,200
CWA UMALA,North Alego,2,1,200
C_26 BODA BODA SACCO,Kanyaluo,1,1,100
Caanan,Nairobi South,7,4,600
Caanan Group,Makongeni,4,2,300
Calabash  pipeline ,Pipeline,3,2,600
Califonia Misisipi ,California,3,1,300
California ,Laini Saba,11,3,500
California Group ,California,11,4,400
Canaan Ladies,Njiru,17,6,1200
Canaan Sisters,Lucky Summer,14,4,600
Candle Of Hope,Eastleigh South,9,7,1800
Canvas,Gatina,11,2,1300
Care Village,Hospital,5,5,500
Carnifol ,Kwa Reuben,3,1,100
Carol Joy Kang'alya,Kileleshwa,19,3,300
Carusha,Kariobangi North,4,4,800
Central Kagan ,Ngei,11,3,300
Central Welfare,Gatina,8,6,600
Central and Eastern ,Kwa Njenga,12,6,700
Ceradis,Imara Daima,7,5,500
Ceralo,Gatina,13,9,1000
Challenge,Nairobi South,3,2,200
Challenge 1,Nairobi South,6,1,100
Challenge 1 ,Nairobi South,7,2,200
Challenge 2,Nairobi South,19,1,100
Challenge 3,Nairobi South,13,1,100
Challenge 3 Hazina,Nairobi South,1,1,100
Cham Gi Wadu,Wasimbete,9,6,700
Cham Luchi,Dandora Area I,28,3,300
Cham gi wadu,Dandora Area Iv,26,7,1100
Chamber of Secret,Nyayo Highrise,9,8,900
Champions,Baba Dogo,13,1,100
Champions ,Mugumu-Ini,15,11,1100
Champions Forever ,Landimawe,4,1,100
Champions of faith,Kayole Central,16,13,1500
Chandumba SHG,Kileleshwa,8,4,400
Changamka,Imara Daima,9,2,200
Changamka ,Imara Daima,1,1,200
Changamka Sisters,Imara Daima,1,1,100
Changamka Sisters ,Imara Daima,5,2,300
Chanuka ,Korogocho,39,18,3700
Chaplins of Hope,Kabiro,6,2,300
Chata A.,Kwa Njenga,24,8,2700
Chata B ,Kwa Njenga,25,7,2200
Chata C ,Kwa Njenga,16,1,300
Checkline,Gatina,15,2,200
Chemi chemi SHG,Mowlem,13,5,800
Chereni,Ruai,7,3,300
Chereni hub,Kayole North,6,3,300
Chianda women united,North Uyoma,3,3,600
Chief Camp,Gatina,10,2,300
Chiku test,Pipeline,2,1,100
Children Of Pamoja ,Nairobi South,2,1,100
Chims,Hospital,15,6,600
Chims,Ngei,15,3,300
Chosen Ladies ,Lucky Summer,11,9,900
Christian Faith Widows Organisation,Komarock,2,2,400
Chung Kar Tiendi,Utalii,14,8,900
Church of Christ ,Matopeni/Spring Valley,10,4,800
Church of Christ B,Kabiro,4,4,600
Church of Christ Kawangware,Kabiro,17,17,1800
Chuth Ber,Lucky Summer,14,6,800
Circle Cycle,Kangemi,19,1,100
Circle Cycle,Mountain View,19,13,2500
Citadei home of hope SHG,Kariobangi North,21,12,1200
Classic friends,Ngara,4,2,200
Clear vision,California,15,2,200
Clever Bees,Lower Savannah,6,1,100
Cluster Two ,Eastleigh South,6,6,600
Cma mowlem shg,Mowlem,5,4,400
Comido Stars,Imara Daima,9,3,300
Companion,Dandora Area Iii,13,2,200
Compassionate SHG,Kariobangi North,7,5,500
Congo women ,Gatina,3,1,100
Conquerers Express ,Kwa Njenga,6,2,200
Cool Women,Nyayo Highrise,21,13,2000
Coolest Family ,Kwa Njenga,15,10,1600
Coordinators ,Baba Dogo,7,1,100
Corner kuku base,Kayole Central,3,1,100
Corners Stone ,Nairobi South,12,5,500
Cornerstone B,Nairobi South,12,3,500
Covid 19 Group ,Utalii,8,6,1000
Covid Victors,Kware,12,4,400
Coweche,Gatina,2,2,600
Crowded jewels,Maringo/Hamza,4,3,700
Culture power,Eastleigh South,1,1,100
DAD A,South Sakwa,2,1,100
DAD STARS,South Sakwa,3,2,300
DADRA  C,Central Alego,2,2,200
DAGO,West Sakwa,2,1,100
DAGO YOUTH GROUP,Central Karachuonyo,1,1,100
DAHO,Yimbo East,2,1,100
DAHO A,West Yimbo,7,6,1400
DAHO B,West Yimbo,17,11,2200
DAILY CHALLANGE WOMEN,Kasgunga,4,1,100
DAIMA,South Gem,5,1,300
DAIMA MILELE,Usonga,8,4,700
DAIMA SHG B,God Jope,2,2,200
DAIMA SHG C,God Jope,3,1,100
DAIMA SMART,South Kamagambo,6,4,600
DAK EN RIEKO,East Kamagambo,5,1,100
DAK TEK,North Sakwa,10,1,100
DAK TEK S,West Sakwa,13,2,200
DALA,Kabondo East,2,1,100
DALA KWE,South Sakwa,10,8,900
DARAJA FOCUS GROUP,Yimbo East,2,1,100
DARAJA LA TUMAINI,North Sakwa,4,3,300
DARAJA WEFARE,Kakrao,5,3,300
DARAJA WOMEN ,Kwabwai,7,2,200
DATA SHINNERS,Sarang'ombe,11,6,1744
DAUGHTER OF ZION B,South Sakwa,5,1,100
DAUGHTERS OF FAITH,Huruma,15,7,800
DAUGHTERS OF ZION A,South Sakwa,2,1,100
DAYLIGHT,Wangchieng,2,1,100
DAYUSGO A,North Sakwa,3,2,200
DAZZLING,Kayole Central,12,1,100
DAZZLING,Kayole South,12,3,300
DEDWE WOMEN,Manyatta B,5,1,10
DEEP WATERS SHG,Nyayo Highrise,28,3,500
DELTA SHG.,Utalii,1,1,300
DESTENY FINDERS,Ahero,12,1,1
DESTINE A,East Asembo,15,11,2700
DESTINE D,East Asembo,2,1,100
DESTINE E,East Asembo,16,12,1300
DESTINY,Siaya Township,12,4,500
DESTINY B,East Asembo,10,3,500
DESTINY C,East Asembo,5,4,700
DESTINY G,East Asembo,4,1,100
DEVINE,Siaya Township,10,3,300
DEVINE COMMON GOAL,Dandora Area I,2,1,100
DEWRUOK BER,Kwabwai,1,1,100
DHAKO E DERO,North Gem,8,7,1300
DHAKO MAUA,North Sakwa,5,1,100
DHI MAKATA IONGE,Kanyamwa Kosewe,2,1,200
DHIER JAKINDA DEV,Central Sakwa,6,5,600
DHIER OK YOMB,Sigomere,1,1,100
DHIER RACH SGH,Kendu Bay Town,2,1,100
DHIER RATEGO A,North Sakwa,16,9,1200
DHIER RATEGO B,North Sakwa,3,2,200
DHIERNA TO MORI GANG'O,East Asembo,3,2,200
DIAMOND STAR,Ng'ando,2,1,300
DIANA MILELEN,Usonga,1,1,100
DIANGA,West Kamagak,2,2,200
DIDAAS,Pumwani,9,9,1000
DIENYA WEST CATLLES,West Gem,7,3,300
DIGITAL,Central Kamagambo,9,3,300
DIGITAL LADIES,South East Alego,6,2,200
DIGITAL OWIMBI,North Uyoma,6,1,600
DIGITAL OWIMBI,West Uyoma,6,2,200
DIRUMA A,North Kadem,5,4,400
DIRUMA C,North Kadem,4,2,200
DISABILITY CARING GROUP,Laini Saba,16,1,100
DISABILITY CARING GROUP,Sarang'ombe,16,1,200
DISII,Homa Bay East,5,3,300
DIVA SHG,Sarang'ombe,42,6,900
DNYIKAGO LADIES,Sarang'ombe,2,1,100
DOMINION,Riruta,4,3,500
DONDI SHG,South East Alego,20,6,700
DONGRUOK BER SILK,North Gem,3,2,400
DONGRUOK ONGEGIKO,North Uyoma,3,3,300
DONJ KIHERO B,West Alego,7,4,400
DONJ KIHERO C,West Alego,5,1,100
DOPHIL BODABODA,East Gem,5,2,200
DORCAS GENERATION,Mutu-Ini,13,4,500
DORCAS KALARE,East Gem,7,4,500
DORCAS WIDOWS A,East Gem,21,9,900
DOSAJU,Sarang'ombe,9,5,1500
DOUBLE DOUBLE,Mutu-Ini,15,13,2400
DOUBLE F,South Sakwa,8,6,600
DOUBLE JUNIOR MUTEGO,Mutu-Ini,5,3,300
DOYEN SISTERS,Sarang'ombe,25,6,1700
DREAM TEAM 2024,Laini Saba,2,2,700
DUDU,East Kamagambo,3,2,200
DUNIA NI DUARA,Sidindi,8,7,1400
DUOGO GENO,East Kamagambo,5,3,300
DUONG MONDO OYAUNI,West Sakwa,6,1,100
DURABLE SHG,Kanyamwa Kosewe,6,6,1900
DUTO NYALORE,West Gem,6,2,301
DWAR EKA IYUD B,East Ugenya,11,1,100
DWAR GI TIENDI,North Ugenya,1,1,100
DWARO TIMO SHG,Sarang'ombe,34,6,1300
Dagoretti united deaf union,Kilimani,13,7,2000
Daima Lumumba,Harambee,19,6,1400
Dala ber kidhi,Kware,20,1,100
Dandora Advocacy Forum,Dandora Area I,14,2,200
Dandora Creative Arts,Dandora Area I,4,2,1300
Dandora IV changamka support group,Dandora Area Iv,45,22,2400
Dandora Kwetu CBO,Dandora Area Iv,11,6,600
Dandora Morning Star,Dandora Area Ii,1,1,200
Dandora Teritory SHG,Dandora Area Iv,26,13,1400
Dandora vision Group ,Dandora Area Iv,1,1,200
Darajani Genesis ,Kware,3,1,100
Darartu,Imara Daima,15,13,1300
Darartu,Kwa Njenga,15,1,100
Darfur Women SHG,Kariobangi North,13,7,700
Daughter of Jerusalem,Embakasi,8,6,900
David  test,Kwa Njenga,2,1,10
Dazzling group,Komarock,12,9,1300
Deberious AA,Dandora Area I,6,1,100
Deberious AA,Dandora Area Ii,6,1,100
Deberious BB,Dandora Area I,9,4,400
Deberious CC,Dandora Area I,7,1,300
Decent Ladies,Eastleigh South,41,28,3700
Dekapal,Ngei,7,4,500
Dembrouk Development SHG,Dandora Area Iv,13,3,600
Depo,Parklands/Highridge,11,1,100
Desai Women,Ngara,19,1,200
Destiney Kamulu,Njiru,9,3,300
Destiny,Makongeni,8,4,500
Destiny Daughters ,Imara Daima,17,13,1800
Destiny Kamulu,Ruai,6,3,300
Destiny SH Group,Mowlem,5,1,100
Destiny changer,Korogocho,8,8,1600
Destiny shapers,Kasarani,37,14,1500
Destiny shapers,Mwiki,37,1,300
Destiny shapers A,Kasarani,14,7,900
Determine ,Karura,6,2,600
Determiners ,Imara Daima,7,6,1200
Devine Mecy,Huruma,12,5,500
Dhahabu,Kwa Njenga,6,4,500
Diamond,Eastleigh South,8,6,700
Diamond SHG,Kwa Reuben,12,4,400
Dicided,California,3,2,200
Diesk Group ,Lucky Summer,12,2,400
Digital Gituamba,Njiru,5,3,300
Digital Highrise ,Nyayo Highrise,18,10,1000
Digital Women ,Kasarani,1,1,100
Dina (C.B.O),Korogocho,72,7,2600
Divas of hope ,Umoja Ii,10,9,1100
Donholm KC,Upper Savannah,9,2,300
Doormats SHG,Kariobangi North,35,20,2200
Doritabi B,Landimawe,7,5,500
Doritabi C,Landimawe,3,1,200
Doritabi E,Landimawe,3,3,300
Doritabi H,Landimawe,6,1,100
Doritabi K,Landimawe,4,1,300
Dream Big,Lucky Summer,4,2,500
Dream Makers,Githurai,20,5,1600
Dream Team SHG,Dandora Area Iv,8,7,700
Dream Team Unity,Kileleshwa,1,1,100
Dream Way,Gatina,11,7,700
Dream makers ,Githurai,5,2,400
Dream makers ,Roysambu,5,1,100
Dual achiel,Kware,5,4,400
Dumpsite Queens,Dandora Area I,7,2,200
Dumpsite Women ,Mathare North,35,1,100
Duoko Group ,Mathare North,24,3,500
Duon mine,North Kamagambo,3,3,900
Duwan,Sarang'ombe,1,1,100
Duwan ,Baba Dogo,34,8,1200
Dynamic,Makongeni,18,7,1200
Dynamic cbo ,Viwandani,3,1,300
E. ASEMBO B,East Asembo,2,1,300
E. ASEMBO C,East Asembo,5,1,100
E. ASEMBO D,East Asembo,6,4,400
E. ASEMBO E,East Asembo,2,1,100
E/Superladies,Gatina,17,1,100
E/Superladies,Pumwani,17,10,2100
EAGLE LADIES ,Huruma,8,4,700
EAGLES BUSARA,Yala Township,11,10,1400
EARGLE,Mugumu-Ini,6,6,1500
EAST ASEMBO WELFARE,East Asembo,12,7,800
EAST UGENYA CBO,East Ugenya,9,7,800
EAST UGENYA PWD,East Ugenya,5,3,300
EBENEZA 01,Central Seme,3,1,1
